"MERCHANT_CATEGORY_CODE","MERCHANT_CATEGORY_DESCRIPTION","IS_CURRENT_FLAG","IS_DELETED_FLAG","VALID_FROM_DATETIME","VALID_TO_DATETIME"
"3352","American Intl Rent-A-Car","Y","N","1900-01-01","9999-12-31"
"3353","Brooks Rent-A-Car","Y","N","1900-01-01","9999-12-31"
"3354","Action Auto Rental","Y","N","1900-01-01","9999-12-31"
"3355","Sixt Car Rental","Y","N","1900-01-01","9999-12-31"
"3357","Hertz","Y","N","1900-01-01","9999-12-31"
"3359","Payless Car Rental","Y","N","1900-01-01","9999-12-31"
"3360","Snappy Car Rental","Y","N","1900-01-01","9999-12-31"
"3361","Airways Rent-A-Car","Y","N","1900-01-01","9999-12-31"
"3362","Altra Auto Rental","Y","N","1900-01-01","9999-12-31"
"3364","Agency Rent-A-Car","Y","N","1900-01-01","9999-12-31"
"3366","Budget Rent-A-Car","Y","N","1900-01-01","9999-12-31"
"3368","Holiday Rent-A-Car","Y","N","1900-01-01","9999-12-31"
"3370","Rent-A-Wreck","Y","N","1900-01-01","9999-12-31"
"3374","Accent Rent-A-Car","Y","N","1900-01-01","9999-12-31"
"3376","Ajax Rent-A-Car","Y","N","1900-01-01","9999-12-31"
"3380","Triangle Rent-A-Car","Y","N","1900-01-01","9999-12-31"
"3381","Europ Car","Y","N","1900-01-01","9999-12-31"
"3385","Tropical Rent-A-Car","Y","N","1900-01-01","9999-12-31"
"3386","Showcase Rental Cars","Y","N","1900-01-01","9999-12-31"
"3387","Alamo Rent-A-Car","Y","N","1900-01-01","9999-12-31"
"3388","Merchants Rent-A-Car","Y","N","1900-01-01","9999-12-31"
"3389","Avis Rent-A-Car","Y","N","1900-01-01","9999-12-31"
"3390","Dollar Rent-A-Car","Y","N","1900-01-01","9999-12-31"
"3391","Europe By Car","Y","N","1900-01-01","9999-12-31"
"3393","National Car Rental","Y","N","1900-01-01","9999-12-31"
"3394","Kemwell Group Rent-A-Car","Y","N","1900-01-01","9999-12-31"
"3395","Thrifty Car Rental","Y","N","1900-01-01","9999-12-31"
"3396","Tilden Rent-A-Car","Y","N","1900-01-01","9999-12-31"
"3398","Econo-Car Rent-A-Car","Y","N","1900-01-01","9999-12-31"
"3399","Car Rental Agency - Network-Specific Assignment","Y","N","1900-01-01","9999-12-31"
"3400","Auto Host Car Rentals","Y","N","1900-01-01","9999-12-31"
"3405","Enterprise Rent-A-Car","Y","N","1900-01-01","9999-12-31"
"3409","General Rent-A-Car","Y","N","1900-01-01","9999-12-31"
"3411","Car Rental Agency - Network-Specific Assignment","Y","N","1900-01-01","9999-12-31"
"3412","A-1 Rent-A-Car","Y","N","1900-01-01","9999-12-31"
"3414","Godfrey Natl Rent-A-Car","Y","N","1900-01-01","9999-12-31"
"3419","Alpha Rent-A-Car","Y","N","1900-01-01","9999-12-31"
"3420","Ansa Intl Rent-A-Car","Y","N","1900-01-01","9999-12-31"
"3421","Allstate Rent-A-Car","Y","N","1900-01-01","9999-12-31"
"3423","Avcar Rent-A-Car","Y","N","1900-01-01","9999-12-31"
"3425","Automate Rent-A-Car","Y","N","1900-01-01","9999-12-31"
"3427","Avon Rent-A-Car","Y","N","1900-01-01","9999-12-31"
"3428","Carey Rent-A-Car","Y","N","1900-01-01","9999-12-31"
"3429","Insurance Rent-A-Car","Y","N","1900-01-01","9999-12-31"
"3430","Major Rent-A-Car","Y","N","1900-01-01","9999-12-31"
"3431","Replacement Rent-A-Car","Y","N","1900-01-01","9999-12-31"
"3432","Reserve Rent-A-Car","Y","N","1900-01-01","9999-12-31"
"3433","Ugly Duckling Rent-A-Car","Y","N","1900-01-01","9999-12-31"
"3434","Usa Rent-A-Car","Y","N","1900-01-01","9999-12-31"
"3435","Value Rent-A-Car","Y","N","1900-01-01","9999-12-31"
"3436","Autohansa Rent-A-Car","Y","N","1900-01-01","9999-12-31"
"3437","Cite Rent-A-Car","Y","N","1900-01-01","9999-12-31"
"3438","Interent Rent-A-Car","Y","N","1900-01-01","9999-12-31"
"3439","Milleville Rent-A-Car","Y","N","1900-01-01","9999-12-31"
"3440","Car Rental Agency - Network-Specific Assignment","Y","N","1900-01-01","9999-12-31"
"3441","Advantage Rent-A-Car","Y","N","1900-01-01","9999-12-31"
"3501","Holiday Inns","Y","N","1900-01-01","9999-12-31"
