SOURCE_SYSTEM,SOURCE_CODE,SOURCE_DESCRIPTION,TARGET_SYSTEM,TARGET_CODE,TARGET_DESCRIPTION
V8,6211,Security Brokers/Dealers,REFERENCE.CORE.MERCHANT_CATEGORY,6211,Security Brokers/dealers
V8,6051,Quasi Cash,REFERENCE.CORE.MERCHANT_CATEGORY,6051,"Non-Financial Institutions â€“ Foreign Currency, Liquid and Cryptocurrency Assets (for Example: Cryptocurrency), Money"
V8,6012,Financial Institutions - Merchandise And Services,REFERENCE.CORE.MERCHANT_CATEGORY,6012,"Financial Institutions â€“ Merchandise, Services, and Debt Repayment"
V8,6011,Financial Institutions - Automated Cash Disbursements,REFERENCE.CORE.MERCHANT_CATEGORY,6011,Financial Institutions â€“ Automated Cash Disbursements
V8,6010,Financial Institutions - Manual Cash Disbursements,REFERENCE.CORE.MERCHANT_CATEGORY,6010,Financial Institutions â€“ Manual Cash Disbursements
V8,5999,Miscellaneous And Specialty Stores,REFERENCE.CORE.MERCHANT_CATEGORY,5999,Miscellaneous and Specialty Retail Shops
V8,5998,Awning And Tent Shops,REFERENCE.CORE.MERCHANT_CATEGORY,5998,Tent and Awning Shops
V8,5997,Electric Razor Stores -- Sales And Service,REFERENCE.CORE.MERCHANT_CATEGORY,5997,Electric Razor Stores â€“ Sales and Service
V8,5996,"Swimming Pools -- Sales, Service And Supplies",REFERENCE.CORE.MERCHANT_CATEGORY,5996,Swimming Pools â€“ Sales and Service
V8,5995,"Pet Shops, Pet Foods And Supplies Stores",REFERENCE.CORE.MERCHANT_CATEGORY,5995,"Pet Shops, Pet Foods and Supplies Stores"
V8,5994,News Dealers And Newsstands,REFERENCE.CORE.MERCHANT_CATEGORY,5994,News Dealers and Newsstands
V8,5993,Cigar Stores And Stands,REFERENCE.CORE.MERCHANT_CATEGORY,5993,Cigar Stores and Stands
V8,5992,Florists,REFERENCE.CORE.MERCHANT_CATEGORY,5992,Florists
V8,5983,"Fuel Dealers-Fuel,Oil,Wood,Coal,Lique",REFERENCE.CORE.MERCHANT_CATEGORY,5983,"Fuel Dealers â€“ Fuel Oil, Wood, Coal, and Liquefied Petroleum"
